"","site","transect","actual.window","designated.window","plant","year_t","max.ht_t","max.w_t","perp.w_t","flowers_t","fruits_t","reproductive_fraction_t","year_t1","new.plant_t1","seedling_t1","survival_t1","max.ht_t1","max.w_t1","perp.w_t1","flowers_t1","fruits_t1","reproductive_fraction_t1","density","weighted.dens","volume_t","volume_t1","logGR","total.fruits_t","total.flowers_t","total.fruits_t1","total.flowers_t1","total.reproduction_t","total.reproduction_t1","logTR1","did.flower","transplant"
"1337","SLP",1,5,0,"7",2016,59,89,81,6,67,0.25,2017,0,NA,"1",55,81,74,0,58,0.5,12,1009391.36340391,111351.395412,86307.4041757456,-0.254775535201219,268,24,116,0,292,116,4.75359019110636,1,FALSE
"1338","SLP",1,5,0,"10",2014,33,45,39,0,1,1,2015,0,NA,"1",34,53,43,0,0,1,12,1009391.36340391,15162.1115443877,20285.7873630049,0.2911208564954,1,0,0,0,1,0,NA,0,FALSE
"1339","SLP",1,5,0,"10",2016,40,58,44,1,51,1,2017,0,NA,"1",42,58,44,5,10,1,12,1009391.36340391,26724.4815065372,28060.705581864,0.0487901641694322,51,1,10,5,52,15,2.70805020110221,1,FALSE
"1340","SLP",1,50,50,"4",2014,56,87,55,7,4,1,2015,0,NA,"1",59,101,79,0,0,1,3,207384.646844484,70151.7639546601,123244.941599715,0.563512818591796,4,7,0,0,11,0,NA,0,FALSE
"1341","SLP",1,50,50,"5",2014,76,73,73,126,73,1,2015,0,NA,"1",81,93,85,13,4,1,3,207384.646844484,106029.799256207,167631.457004734,0.458047681732896,73,126,4,13,199,17,2.83321334405622,1,FALSE
"1342","SLP",1,50,50,"3",2014,41,57,51,9,9,1,2015,0,NA,"1",46,64,61,0,0,1,3,207384.646844484,31203.0836336172,47014.9812585224,0.409949376758894,9,9,0,0,18,0,NA,0,FALSE
"1343","SLP",1,50,50,"3",2016,50,75,71,68,69,1,2017,0,NA,"1",59,66,60,2,41,1,3,207384.646844484,69704.0870015235,61166.8089653933,-0.130654247851526,69,68,41,2,137,43,3.76120011569356,1,FALSE
"1344","SLP",1,50,50,"4",2016,63,115,82,14,37,0.25,2017,0,NA,"1",64,115,94,12,81,0.5,3,207384.646844484,155532.398297597,181123.288454964,0.152323891973889,148,56,162,24,204,186,5.2257466737132,1,FALSE
"1345","SLP",1,50,50,"3",2015,46,64,61,0,0,1,2016,0,NA,"1",50,75,71,68,69,1,3,207384.646844484,47014.9812585224,69704.0870015235,0.393792651983695,0,0,69,68,0,137,4.91998092582813,1,FALSE
"1346","SLP",1,50,50,"5",2016,82,93,87,63,114,0.5,2017,0,NA,"1",84,99,86,16,104,0.25,3,207384.646844484,173693.945427999,187232.638968644,0.0750570861593172,228,126,416,64,354,480,6.17378610390194,1,FALSE
