"","site","transect","actual.window","designated.window","plant","year_t","max.ht_t","max.w_t","perp.w_t","flowers_t","fruits_t","reproductive_fraction_t","year_t1","new.plant_t1","seedling_t1","survival_t1","max.ht_t1","max.w_t1","perp.w_t1","flowers_t1","fruits_t1","reproductive_fraction_t1","density","weighted.dens","volume_t","volume_t1","logGR","total.fruits_t","total.flowers_t","total.fruits_t1","total.flowers_t1","total.reproduction_t","total.reproduction_t1","logTR1","did.flower","transplant","seeds.emp","seeds.PMod","seeds.FMod","recruits","recruit.prob"
"53","FPS",1,105,100,"5s",NA,NA,NA,NA,NA,NA,NA,2016,1,0,"",5,7,5,0,0,1,2,24.7526487798359,NA,3.82460920998491,NA,NA,NA,0,0,NA,0,NA,0,FALSE,1082,1082,4666.41376151019,1,0.000924214417744917
"54","FPS",1,105,100,"5s",2016,5,7,5,0,0,1,2017,0,NA,"1",7,9,7,0,0,1,2,24.7526487798359,3.82460920998491,4.74886811150825,0.216450002601515,0,0,0,0,0,0,NA,0,FALSE,1082,1082,4666.41376151019,1,0.000924214417744917
"55","FPS",1,105,100,"2",2013,135,117,114,0,6,1,2014,0,NA,"1",133,123,110,23,34,1,2,24.7526487798359,13.0634703976921,13.062837085448,-4.84808076783499e-05,6,0,34,23,6,57,4.04305126783455,1,FALSE,1082,1082,4666.41376151019,1,0.000924214417744917
"56","FPS",1,110,100,"1s",2014,4,7,4.5,0,0,1,2015,0,NA,"1",6,10,8,0,0,1,1,13.9072332523702,3.49610514301288,4.83360933996334,0.323943931374447,0,0,0,0,0,0,NA,0,FALSE,0,4841.84355664507,4841.84355664507,1,0.000206532901838097
"57","FPS",1,110,110,"1s",2016,9,9,7,0,0,1,2017,0,NA,"1",8,16,14,0,0,1,1,13.9072332523702,5.00018253978915,6.15091082959628,0.207125753500199,0,0,0,0,0,0,NA,0,FALSE,0,4841.84355664507,4841.84355664507,1,0.000206532901838097
"58","FPS",1,110,110,"1s",2015,6,10,8,0,0,1,2016,0,NA,"1",9,9,7,0,0,1,1,13.9072332523702,4.83360933996334,5.00018253978915,0.03388095577753,0,0,0,0,0,0,NA,0,FALSE,0,4841.84355664507,4841.84355664507,1,0.000206532901838097
"59","FPS",1,110,100,"1s",2013,NA,NA,NA,NA,NA,NA,2014,1,1,"",4,7,4.5,0,0,1,1,13.9072332523702,NA,3.49610514301288,NA,NA,NA,0,0,NA,0,NA,0,FALSE,0,4841.84355664507,4841.84355664507,1,0.000206532901838097
"60","FPS",1,130,100,"4",NA,NA,NA,NA,NA,NA,NA,2015,1,0,"1",10,12,7,0,0,1,0,0,NA,5.39322512789876,NA,NA,NA,0,0,NA,0,NA,0,FALSE,0,5066.79972122702,5066.79972122702,1,0.000197363238142326
"61","FPS",1,130,100,"4",2016,8,8,6,0,0,NA,2017,0,NA,"1",13,16,9,0,0,1,0,0,4.61046578864913,6.19458589309894,0.295346776846658,NA,NA,0,0,NA,0,NA,0,FALSE,0,5066.79972122702,5066.79972122702,1,0.000197363238142326
"62","FPS",1,145,150,"1",2015,83,184,114,24,29,1,2016,0,NA,"1",89,182,140,75,178,0.125,1,12.275345088178,13.0297980498615,13.2941087154796,0.0200820912141884,29,24,1424,600,53,2024,7.61283103040736,1,FALSE,2143,2143,4868.2401299808,0,0
"63","FPS",1,145,150,"1",2016,89,182,140,75,178,0.125,2017,0,NA,"1",84,202,168,13,119,0.125,1,12.275345088178,13.2941087154796,13.5228717117092,0.017061469400956,1424,600,952,104,2024,1056,6.96224346426621,1,FALSE,2143,2143,4868.2401299808,0,0
"64","FPS",1,145,150,"1",2014,71,157,113,45,2,1,2015,0,NA,"1",83,184,114,24,29,1,1,12.275345088178,12.7061367371634,13.0297980498615,0.0251538077492219,2,45,29,24,47,53,3.97029191355212,1,FALSE,2143,2143,4868.2401299808,0,0
