"","site","transect","actual.window","designated.window","plant","year_t","max.ht_t","max.w_t","perp.w_t","flowers_t","fruits_t","reproductive_fraction_t","year_t1","new.plant_t1","seedling_t1","survival_t1","max.ht_t1","max.w_t1","perp.w_t1","flowers_t1","fruits_t1","reproductive_fraction_t1","density","weighted.dens","volume_t","volume_t1","logGR","total.fruits_t","total.flowers_t","total.fruits_t1","total.flowers_t1","total.reproduction_t","total.reproduction_t1","logTR1","did.flower","transplant","recruits.1y","recruits.4y"
"1374","SLP",1,50,50,"3",2016,50,75,71,68,69,1,2017,0,NA,"1",59,66,60,2,41,1,3,207384.646844484,11.1520142320672,11.0213599842156,-0.0117849235508234,69,68,41,2,137,43,3.76120011569356,1,FALSE,0,0
"1375","SLP",1,55,50,"9",2014,58,88,68,17,12,1,2015,0,NA,"1",62,67,68,0,0,1,9,825516.563383178,11.4171107662621,11.2111579456736,-0.0182036469905862,12,17,0,0,29,0,NA,0,FALSE,0,0
"1376","SLP",1,55,50,"7",2014,61,84,75,20,130,0.5,2015,0,NA,"1",58,98,88,0,0,1,9,825516.563383178,11.5190020126143,11.7825705397566,0.0226233459564407,260,40,0,0,300,0,NA,0,FALSE,0,0
"1377","SLP",1,55,50,"8",2014,56,101,99,100,27,1,2015,0,NA,"1",62,121,79,4,2,1,9,825516.563383178,11.8954152937724,11.9521960191703,0.00476197233770259,27,100,2,4,127,6,1.79175946922805,1,FALSE,0,0
"1378","SLP",1,55,50,"6",2016,62,89,78,20,45,0.5,2017,0,NA,"1",58,94,92,15,6,0.25,9,825516.563383178,11.6323028175282,11.7853496059269,0.0130712476831065,90,40,24,60,130,84,4.43081679884331,1,FALSE,0,0
"1379","SLP",1,55,50,"8",2016,69,128,124,9,103,0.125,2017,0,NA,"1",72,124,95,1,32,0.25,9,825516.563383178,12.5662415701833,12.310647812283,-0.0205494142147788,824,72,128,4,896,132,4.88280192258637,1,FALSE,0,0
"1380","SLP",1,55,50,"6",2014,58,77,67,18,4,1,2015,0,NA,"1",54,91,76,0,4,1,9,825516.563383178,11.2687642878525,11.4904001294289,0.0194772395127418,4,18,4,0,22,4,1.38629436111989,1,FALSE,0,0
"1381","SLP",1,55,50,"10",2014,57,56,54,30,45,1,2015,0,NA,"1",62,77,69,22,10,1,9,825516.563383178,10.7172102411954,11.3648695475574,0.0586760957208661,45,30,10,22,75,32,3.46573590279973,1,FALSE,0,0
"1382","SLP",1,55,50,"7",2015,58,98,88,0,0,1,2016,0,NA,"1",69,111,102,92,178,0.5,9,825516.563383178,11.7825705397566,12.2284327552553,0.0371424272983867,0,0,356,184,0,540,6.29156913955832,1,FALSE,0,0
"1383","SLP",1,55,50,"9",2016,83,112,78,18,52,0.2,2017,0,NA,"1",73,90,80,3,34,0.5,9,825516.563383178,12.1538715418427,11.8321189822139,-0.0268299831230538,260,90,68,6,350,74,4.30406509320417,1,FALSE,0,0
"1384","SLP",1,55,50,"7",2016,69,111,102,92,178,0.5,2017,0,NA,"1",74,102,100,2,107,0.25,9,825516.563383178,12.2284327552553,12.1940313285379,-0.00281719726165486,356,184,428,8,540,436,6.07764224334903,1,FALSE,0,0
"1385","SLP",1,55,50,"10",2015,62,77,69,22,10,1,2016,0,NA,"1",68,87,62,24,43,0.5,9,825516.563383178,11.3648695475574,11.4723734449372,0.00941485725796332,10,22,86,48,32,134,4.89783979995091,1,FALSE,0,0
"1386","SLP",1,55,50,"8",2015,62,121,79,4,2,1,2016,0,NA,"1",69,128,124,9,103,0.125,9,825516.563383178,11.9521960191703,12.5662415701833,0.0500989491183712,2,4,824,72,6,896,6.79794041297493,1,FALSE,0,0
"1387","SLP",1,55,50,"10",2016,68,87,62,24,43,0.5,2017,0,NA,"1",72,80,65,13,63,0.5,9,825516.563383178,11.4723734449372,11.492903259647,0.00178790096393477,86,48,126,26,134,152,5.02388052084628,1,FALSE,0,0
"1388","SLP",1,55,50,"6",2015,54,91,76,0,4,1,2016,0,NA,"1",62,89,78,20,45,0.5,9,825516.563383178,11.4904001294289,11.6323028175282,0.0122740381965056,4,0,90,40,4,130,4.86753445045558,1,FALSE,0,0
"1389","SLP",1,55,50,"9",2015,62,67,68,0,0,1,2016,0,NA,"1",83,112,78,18,52,0.2,9,825516.563383178,11.2111579456736,12.1538715418427,0.0807382369214169,0,0,260,90,0,350,5.85793315448346,1,FALSE,0,0
"1390","SLP",2,0,0,"3",2014,71,90,62,0,13,1,2015,0,NA,"1",71,86,72,0,0,1,13,1040633.97874509,11.5494471684781,11.6535165283723,0.00897041077249749,13,0,0,0,13,0,NA,0,FALSE,0,0
"1391","SLP",2,0,0,"1",2014,35,71,58,0,0,1,2015,0,NA,"1",38,76,69,0,0,1,13,1040633.97874509,10.5382941851385,10.8622492406714,0.0302777174634881,0,0,0,0,0,0,NA,0,FALSE,0,0
"1392","SLP",2,0,0,"3",2015,71,86,72,0,0,1,2016,0,NA,"1",58,91,79,6,81,1,13,1040633.97874509,11.6535165283723,11.6005736055917,-0.00455343674606601,0,0,81,6,0,87,4.46590811865458,1,FALSE,0,0
"1393","SLP",2,0,0,"5",2015,34,57,43,0,0,1,2016,0,NA,"1",33,52,35,0,2,1,13,1040633.97874509,9.99043514420567,9.66292257759872,-0.0333320029583692,0,0,2,0,0,2,0.693147180559945,1,FALSE,0,0
"1394","SLP",2,0,0,"7",2016,75,106,80,11,127,0.25,2017,0,NA,"1",74,100,87,2,41,0.125,13,1040633.97874509,12.0227770783837,12.0349666339082,0.00101335825283311,508,44,328,16,552,344,5.8406416573734,1,FALSE,0,0
"1395","SLP",2,0,0,"2",2014,38,56,47,0,0,1,2015,0,NA,"1",42,60,51,0,0,1,13,1040633.97874509,10.172908688233,10.4236630492912,0.0243503389109176,0,0,0,0,0,0,NA,0,FALSE,0,0
"1396","SLP",2,0,0,"7",2014,68,91,74,14,8,1,2015,0,NA,"1",71,97,82,14,12,1,13,1040633.97874509,11.6942555409585,11.9039333388704,0.0177711363531712,8,14,12,14,22,26,3.25809653802148,1,FALSE,0,0
"1397","SLP",2,0,0,"7",2015,71,97,82,14,12,1,2016,0,NA,"1",75,106,80,11,127,0.25,13,1040633.97874509,11.9039333388704,12.0227770783837,0.00993406237516892,12,14,508,44,26,552,6.31354804627709,1,FALSE,0,0
"1398","SLP",2,0,0,"4",2015,48,65,74,0,0,1,2016,0,NA,"1",53,92,77,4,26,1,13,1040633.97874509,11.0094766100691,11.4957091485162,0.0432174363053099,0,0,26,4,0,30,3.40119738166216,1,FALSE,0,0
