light,site,subsite,individual,end.year,end.number.leaves,end.av.leaf.length,end.av.leaf.width,end.av.leaf.area,end.total.leaf.area
L,L1,,116,2010,2,14.65,2.95,33.94294513,67.88589025
L,L1,,117,2010,2,11.3,1.65,14.64374876,29.28749751
L,L1,,119,2010,2,7.15,1.6,8.984954989,17.96990998
L,L1,,122,2010,2,8.75,1.5,10.30835089,20.61670179
L,L1,,131,2010,2,9.8,1.4,10.7756628,21.5513256
L,L1,,139,2010,2,14,2,21.99114858,43.98229715
L,L2,,174,2005,2,10.2,2.25,18.02488785,36.0497757
L,L2,,179,2005,2,11.9,2.5,23.36559536,46.73119072
L,L2,,180,2005,2,8.55,1.65,11.08000459,22.16000918
L,L2,,187,2005,2,11.3,2.35,20.85624823,41.71249646
L,L2,,188,2005,2,10.15,2.05,16.34217228,32.68434457
L,L2,,190,2005,2,7.5,2.85,16.78788574,33.57577149
L,L2,,200,2006,2,12,1.95,18.37831702,36.75663405
L,L2,,204,2006,2,11.35,2.3,20.50281906,41.00563811
L,L2,,205,2006,2,10.05,2.8,22.10110432,44.20220864
L,L2,,206,2006,2,13.45,3.15,33.27535669,66.55071338
L,L2,,207,2006,2,10.25,2.05,16.50317891,33.00635782
L,L2,,209,2006,2,7.9,1.35,8.376271413,16.75254283
L,L2,,214,2007,2,8.8,1.5,10.36725576,20.73451151
L,L2,,216,2007,2,9.3,1.05,7.669413066,15.33882613
L,L2,,218,2007,2,7.05,1.2,6.644468462,13.28893692
L,L2,,221,2007,2,10.2,2.05,16.4226756,32.84535119
L,L2,,223,2007,2,12.55,1.85,18.23498186,36.46996372
L,L2,,224,2006,2,12,1.75,16.49336143,32.98672286
L,L2,,228,2007,2,8.3,1.933333333,12.60302253,25.20604506
L,L2,,230,2007,2,7.25,1.35,7.687084524,15.37416905
L,L2,,239,2008,2,7.95,1,6.243915399,12.4878308
L,L2,,240,2008,2,9.35,1.2,8.812167393,17.62433479
L,L2,,241,2008,2,9.95,1.15,8.986918485,17.97383697
L,L2,,242,2008,2,7.85,0.85,5.240569245,10.48113849
L,L2,,244,2008,2,9.25,1.6,11.62389282,23.24778564
L,L2,,249,2008,2,9.6,2.25,16.96460033,33.92920066
L,L2,,251,2008,2,9.5,2.15,16.04175749,32.08351497
L,L2,,252,2008,2,10.75,2.45,20.68542413,41.37084826
L,L2,,255,2008,2,8.2,1.95,12.55851663,25.11703327
L,L2,,259,2008,2,7.3,1.15,6.593417582,13.18683516
L,L2,,261,2008,2,8,1.6,10.05309649,20.10619298
L,L2,,262,2008,2,9.8,1.15,8.851437301,17.7028746
L,L2,,268,2009,2,7.65,1.7,10.21410311,20.42820623
L,L2,,270,2009,2,10.6,2.05,17.06670209,34.13340418
L,L2,,273,2009,2,10.75,1.5,12.66454538,25.32909077
L,L2,,276,2009,2,7.75,1.5,9.130253649,18.2605073
L,L2,,280,2009,2,8.2,1.5,9.66039741,19.32079482
L,L2,,282,2009,2,6.2,1.75,8.521570073,17.04314015
L,L2,,284,2009,2,10.2,2.25,18.02488785,36.0497757
L,L2,,286,2009,2,10.95,1.95,16.77021428,33.54042857
L,L2,,287,2009,2,10.5,3.1,25.56471022,51.12942044
L,L2,,288,2009,2,11.7,2.55,23.4323542,46.86470841
L,L2,,290,2009,2,9.7,2.1,15.99856059,31.99712118
L,L2,,291,2009,2,12.3,2.9,28.01515249,56.03030498
L,L2,,293,2009,2,9.6,1.65,12.44070691,24.88141382
L,L2,,296,2009,2,9.7,1.75,13.33213382,26.66426765
L,L2,,297,2009,2,9.4,2.05,15.13462261,30.26924522
L,L2,,303,2009,2,8.2,1.25,8.050331175,16.10066235
L,L2,,305,2009,2,9.15,0.9,6.467753876,12.93550775
L,L2,,307,2010,2,7.25,2.05,11.6729802,23.34596041
L,L2,,310,2010,2,6.75,1.2,6.361725124,12.72345025
L,L2,,317,2010,2,7.05,1.25,6.921321315,13.84264263
L,L2,,318,2010,2,8.55,2.1,14.10182402,28.20364805
L,L2,,319,2010,2,13,2.45,25.0149315,50.02986301
L,L2,,322,2010,2,5.75,1.75,7.903069019,15.80613804
L,L2,,323,2010,2,8.3,2.1,13.68948999,27.37897998
L,L2,,333,2010,2,11.15,2.45,21.45511433,42.91022866
L,L2,,334,2010,2,8.4,2.25,14.84402529,29.68805058
L,L2,,337,2010,2,10.65,1.9,15.89253184,31.78506367
L,L2,,341,2010,2,9.2,2.8,20.23185669,40.46371338
L,L2,,343,2010,2,5.35,1.75,7.353290305,14.70658061
L,L2,,344,2010,2,13,3.35,34.20409002,68.40818003
L,L2,,346,2010,2,4.1,0.45,1.449059611,2.898119223
L,L2,,349,2010,2,9.8,1.75,13.4695785,26.939157
L,L2,,350,2010,2,7.2,1.5,8.482300165,16.96460033
L,L2,,352,2010,2,9,1.75,12.37002107,24.74004215
L,L2,,355,2010,2,9.7,2.35,17.90315113,35.80630227
L,L2,,356,2010,2,9.9,2.55,19.82737663,39.65475327
L,L2,,359,2010,2,7.05,1.25,6.921321315,13.84264263
L,L2,,361,2010,2,9,2.25,15.90431281,31.80862562
