light,site,individual,begin.year,number.leaves,av.leaf.length,av.leaf.width,av.leaf.area,total.leaf.area,flowering,inflorescence.height,number.flowers,number.fruits,end.year,end.number.leaves,end.av.leaf.length,end.av.leaf.width,end.av.leaf.area,end.total.leaf.area,end.flowering,end.inflorescence.height,end.number.flowers,end.number.fruits,survival,dormant,comments
L,L1,100,2010,2,14.55,2.15,24.569,49.138,0,NA,NA,NA,2011,0,NA,NA,NA,NA,NA,NA,NA,NA,1,1,
L,L2,138,2007,2,8.00,3.65,22.934,45.867,0,NA,NA,NA,2008,0,NA,NA,NA,NA,NA,NA,NA,NA,1,1,
L,L2,204,2008,2,12.40,3.00,29.217,58.434,0,NA,NA,NA,2009,0,NA,NA,NA,NA,NA,NA,NA,NA,1,1,
L,L2,209,2008,2,12.20,2.95,28.266,56.533,0,NA,NA,NA,2009,0,NA,NA,NA,NA,NA,NA,NA,NA,1,1,
L,L2,220,2010,2,11.90,3.25,30.375,60.751,0,NA,NA,NA,2011,0,NA,NA,NA,NA,NA,NA,NA,NA,1,1,
L,L2,261,2010,2,6.40,2.05,10.304,20.609,0,NA,NA,NA,2011,0,NA,NA,NA,NA,NA,NA,NA,NA,1,1,
L,L1,103,2011,3,14.15,2.90,32.229,96.686,0,NA,NA,NA,2012,0,NA,NA,NA,NA,NA,NA,NA,NA,1,1,
L,L1,142,2011,3,10.03,2.60,20.488,61.465,0,NA,NA,NA,2012,0,NA,NA,NA,NA,NA,NA,NA,NA,1,1,
L,L2,263,2010,3,6.67,2.07,10.821,32.463,0,NA,NA,NA,2011,0,NA,NA,NA,NA,NA,NA,NA,NA,1,1,
#S,S2,1,2007,3,11.03,1.93,16.753,50.260,0,NA,NA,NA,2008,0,NA,NA,NA,NA,NA,NA,NA,NA,1,1,
S,S2,59,2004,3,16.60,3.77,49.108,147.325,0,NA,NA,NA,2005,0,NA,NA,NA,NA,NA,NA,NA,NA,1,1,
L,L1,34,2005,4,17.33,5.40,73.513,294.053,1,38,35,3,2006,0,NA,NA,NA,NA,NA,NA,NA,NA,1,1,
L,L1,62,2010,4,15.93,5.97,74.667,298.668,0,NA,NA,NA,2011,0,NA,NA,NA,NA,NA,NA,NA,NA,1,1,
L,L1,64,2010,4,10.93,2.80,24.044,96.175,1,18,27,1,2011,0,NA,NA,NA,NA,NA,NA,NA,NA,1,1,
L,L1,62,2012,4,14.50,3.73,42.516,170.065,0,NA,NA,NA,2013,0,NA,NA,NA,NA,NA,NA,NA,NA,1,1,
L,L1,67,2012,4,11.30,4.10,36.387,145.550,0,NA,NA,NA,2013,0,NA,NA,NA,NA,NA,NA,NA,NA,1,1,
L,L2,1,2005,4,12.13,4.47,42.565,170.260,0,NA,NA,NA,2006,0,NA,NA,NA,NA,NA,NA,NA,NA,1,1,
L,L2,28,2007,4,12.00,4.00,37.699,150.796,1,12,NA,NA,2008,0,NA,NA,NA,NA,NA,NA,NA,NA,1,1,
L,L2,149,2010,4,12.37,3.43,33.347,133.389,0,NA,NA,NA,2011,0,NA,NA,NA,NA,NA,NA,NA,NA,1,1,
S,S1b,54,2004,4,15.67,3.90,47.988,191.951,0,NA,NA,NA,2005,0,NA,NA,NA,NA,NA,NA,NA,NA,1,1,
S,S1b,54,2009,4,15.00,3.77,44.375,177.500,0,NA,NA,NA,2010,0,NA,NA,NA,NA,NA,NA,NA,NA,1,1,
S,S1b,79,2009,4,17.33,4.10,55.816,223.263,0,NA,NA,NA,2010,0,NA,NA,NA,NA,NA,NA,NA,NA,1,1,
S,S2,17,2009,4,14.87,3.10,36.196,144.786,0,NA,NA,NA,2010,0,NA,NA,NA,NA,NA,NA,NA,NA,1,1,
S,S2,29,2007,4,15.67,3.10,38.144,152.577,0,NA,NA,NA,2008,0,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"# 1leaf, assume dormant"
#L,L1,81,2007,4,12.33,4.30,41.652,166.609,0,NA,NA,NA,2008,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
L,L1,41,2009,5,14.47,5.67,64.385,321.926,1,45,42,4,2010,0,NA,NA,NA,NA,NA,NA,NA,NA,1,1,
L,L1,71,2010,5,14.87,4.10,47.873,239.363,1,38,31,0,2011,0,NA,NA,NA,NA,NA,NA,NA,NA,1,1,
L,L1,3,2011,5,16.67,4.13,54.105,270.526,1,42,33,4,2012,0,NA,NA,NA,NA,NA,NA,NA,NA,1,1,
L,L2,120,2004,5,12.70,3.30,32.916,164.580,1,37,56,8,2005,0,NA,NA,NA,NA,NA,NA,NA,NA,1,1,
L,L2,141,2005,5,12.27,3.07,29.545,147.725,0,NA,NA,NA,2006,0,NA,NA,NA,NA,NA,NA,NA,NA,1,1,
L,L2,168,2006,5,15.23,3.43,41.077,205.386,0,NA,NA,NA,2007,0,NA,NA,NA,NA,NA,NA,NA,NA,1,1,
L,L2,135,2007,5,13.37,2.93,30.795,153.973,0,NA,NA,NA,2008,0,NA,NA,NA,NA,NA,NA,NA,NA,1,1,
L,L2,140,2008,5,9.27,2.87,20.864,104.318,0,NA,NA,NA,2009,0,NA,NA,NA,NA,NA,NA,NA,NA,1,1,
