"","Plot","TagID","Transplant","Year_t","Height_t","Width_t","Perp_t","NS_t","Goodbuds_t","TotFlowerbuds_t","ABFlowerbuds_t","Antcount_t","Year_t1","Newplant","Survival_t1","Height_t1","Width_t1","Perp_t1","NS_t1","Goodbuds_t1","TotFlowerbuds_t1","ABFlowerbuds_t1","Antcount_t1","comments","Ant_sp_t","Ant_sp_t1"
"127","HT3B2","HT3B2",0,2005,1.396,0.308,0.308,NA,NA,NA,NA,0,2006,0,1,NA,NA,NA,NA,NA,NA,NA,NA,"","vacant",NA
"128","HT3B2","HT3B2",0,2005,1.9,0.3,0.3,NA,NA,NA,NA,0,2006,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"","vacant",NA
"129","HT3B2","HT3B2",0,2005,1.396,0.308,0.308,NA,NA,NA,NA,0,2006,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"","vacant",NA
"130","HT3B3","HT3B3",0,2005,2.1,0.4,0.4,NA,NA,NA,NA,0,2006,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"","vacant",NA
"131","HT4B1","HT4B1",0,2005,0.8,0.2,0.2,NA,NA,NA,NA,0,2006,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"","vacant",NA
"132","HT4B2","HT4B2",0,2005,1.4,0.3,0.3,NA,NA,NA,NA,0,2006,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"","vacant",NA
"133","T1","AD10",0,2005,102,63,36,13,3,3,0,0,2006,0,1,100,73,52,7,0,2,2,20,"","vacant","crem"
"134","T1","AD11",0,2005,93,34,29,3,3,3,0,27,2006,0,1,94,40,29,5,0,0,NA,25,"","crem","crem"
"135","T1","AD15",0,2005,105,49,27,3,2,2,0,4,2006,0,1,118,44,34,1,0,1,1,17,"","liom","liom"
"136","T1","AD16",0,2005,68,115,38,11,4,4,0,17,2006,0,1,64,94,38,2,6,10,4,28,"","liom","liom"
"137","T1","AD17",0,2005,95,62,49,11,18,18,0,49,2006,0,1,98,62,49,15,11,17,6,60,"","crem","liom"
"138","T1","AD18",0,2005,107,53,43,5,11,11,0,18,2006,0,1,97,52,40,3,1,1,0,46,"","crem","liom"
"139","T1","AD19",0,2005,98,61,42,3,11,11,0,41,2006,0,1,93,65,38,3,0,1,1,37,"","liom","liom"
