ID,year_t,...1,Plot,TagID,Transplant,Year_t,Height_t,Width_t,Perp_t,NS_t,Goodbuds_t,TotFlowerbuds_t,ABFlowerbuds_t,Antcount_t,Year_t1,Newplant,Survival_t1,Height_t1,Width_t1,Perp_t1,FLAG,NS_t1,Goodbuds_t1,TotFlowerbuds_t1,ABFlowerbuds_t1,Antcount_t1,comments,Ant_sp_t,Ant_sp_t1,vol_t,vol_t1,plot
41.8,2012,2874,8,41,0,2012,27,19,20,21,0,NA,NA,0,2013,0,1,19,11,2,,0,0,NA,0,0,NA,vacant,vacant,2687.828865,210.1594586,8
42.2,2015,4557,2,42,0,2015,78,67,29,19,1,NA,0,10,2016,0,1,86,99,52,,7,7,NA,0,0,NA,fore,vacant,47048.49158,128339.6886,2
42.3,2009,710,3,42,0,2009,23,13,11,0,0,NA,NA,0,2010,0,1,11,2,2,,0,0,NA,NA,NA,NA,vacant,vacant,867.0795724,11.51917306,3
42.6,2016,5762,6,42,0,2016,57,44,42,6,0,NA,0,0,2017,0,1,47,24,7,,0,0,NA,0,0,NA,vacant,vacant,27591.82288,2956.173237,6
42.8,2013,3449,8,42,0,2013,12,31,11,5,0,NA,0,24,2014,0,1,62,35,18,1,7,0,NA,0,25,plant partially toppled over,crem,crem,1385.44236,11398.61445,8
42.8,2017,6707,8,42,0,2017,50,57,23,1,0,NA,0,13,2018,0,1,39,14,14,1,0,0,NA,0,0,NA,liom,vacant,20943.95102,2001.19452,8
44.1,2012,2309,1,44,0,2012,40,24,9,6,0,NA,NA,8,2013,0,1,53,32,24,,7,0,NA,0,15,NA,liom,liom,2850.995333,10878.28816,1
44.5,2015,4940,5,44,0,2015,20,15,7,0,0,NA,0,0,2016,0,1,6,3,1.5,,1,0,NA,0,0,new segment is the only green part,vacant,vacant,633.5545185,7.952156404,5
45.1,2011,1666,1,45,0,2011,55,44,16,0,0,NA,NA,0,2012,0,1,76,62,43,,15,0,NA,NA,8,NA,vacant,liom,12959.0697,54840.42676,1
45.2,2017,6137,2,45,0,2017,136,79,57,13,0,NA,8,4,2018,0,1,138,102,61,,32,7,NA,1,27,NA,fore,liom,164636.2102,239973.3037,2
45.3,2017,6232,3,45,0,2017,64,61,45,5,0,NA,0,7,2018,0,1,12,7,3.5,,3,0,NA,0,18,NA,liom,crem,47065.24674,86.59014751,3
45.7,2017,6622,7,45,0,2017,23,26,16,0,0,NA,0,0,2018,0,1,22,2,2,,0,0,NA,0,0,"all but dead, bottom of stem green (small part)",vacant,vacant,2655.43119,23.03834613,7
46.3,2011,1848,3,46,0,2011,63,16,14,0,0,NA,NA,0,2012,0,1,71,47,28,,2,0,NA,NA,0,NA,vacant,vacant,3711.006322,26139.03263,3
46.3,2009,714,3,46,0,2009,56,32,21,9,0,NA,NA,8,2010,0,1,87,43,32,,6,0,NA,NA,NA,NA,liom,vacant,10295.52272,32029.51885,3
46.3,2010,1210,3,46,0,2010,87,43,32,6,0,NA,NA,NA,2011,0,1,63,16,14,,0,0,NA,NA,0,NA,vacant,vacant,32029.51885,3711.006322,3
46.6,2013,3326,6,46,0,2013,16,14,5,0,0,NA,0,0,2014,0,1,19,2,2,,0,0,NA,0,0,NA,vacant,vacant,378.038316,19.89675347,6
47.3,2015,4665,3,47,0,2015,87,30,20,2,0,NA,0,0,2016,0,1,24,12,7,,0,0,NA,0,0,"tag fell off, but I think this is right; mostly dead, live at base",vacant,vacant,14235.34171,567.057474,3
47.3,2012,2497,3,47,0,2012,97,46,33,12,1,NA,NA,0,2013,0,1,85,23,19,,0,0,NA,0,0,NA,vacant,vacant,39621.832,9813.550052,3
48.8,2011,2237,8,48,0,2011,16,2.5,2.5,0,0,NA,NA,0,2012,0,1,28,12,12,,3,0,NA,NA,0,NA,vacant,vacant,26.17993878,1055.575132,8
50.2,2011,1766,2,50,0,2011,67,42,29,0,0,NA,NA,0,2012,0,1,33,6,11,,10,0,NA,NA,0,NA,vacant,vacant,22105.48946,624.1951904,2
50.5,2011,2055,5,50,0,2011,5.5,1,1,0,0,NA,NA,0,2012,0,1,18,3.5,3,,2,0,NA,NA,0,NA,vacant,vacant,1.439896633,49.77460861,5
50.5,2012,2698,5,50,0,2012,18,3.5,3,2,0,NA,NA,0,2013,0,1,22,18,2,,2,0,NA,0,0,NA,vacant,vacant,49.77460861,575.9586532,5
51.6,2017,6530,6,51,0,2017,105,115,58,6,0,NA,0,0,2018,0,1,119,104,93,,3,5,NA,0,50,a lot of dead wood in the middle making it look like two plants,vacant,liom,205679.0893,302265.1301,6
51.8,2011,2240,8,51,0,2011,10,5.5,2,0,0,NA,NA,0,2012,0,1,21,14,8,,6,0,NA,NA,1,NA,vacant,crem,36.81553891,665.2322444,8
51.8,2017,6715,8,51,0,2017,49,20,13,0,0,NA,0,22,2018,0,1,48,20,90,1,1,0,NA,0,7,NA,liom,crem,3492.469283,38013.27111,8
52.1,2016,5271,1,52,0,2016,82,61,32,1,0,NA,0,0,2017,0,1,110,73,47,,0,0,NA,0,0,50% dead,vacant,vacant,46418.20955,103672.5576,1
52.4,2013,3212,4,52,0,2013,27,21,15,0,0,NA,0,0,2014,0,1,18,5,3,,0,0,NA,0,0,almost entirely dead,vacant,vacant,2290.221044,75.39822369,4
52.4,2011,1946,4,52,0,2011,37,42,29,0,0,NA,NA,0,2012,0,1,31,28,11,,14,0,NA,NA,1,NA,vacant,other,12207.5091,3086.025734,4
52.8,2011,2241,8,52,0,2011,86,59,44,0,0,NA,NA,0,2012,0,1,108,81,70,,23,7,NA,NA,0,NA,vacant,vacant,59714.73866,161170.7717,8
53.6,2013,3331,6,53,0,2013,38,19,12,4,0,NA,0,0,2014,0,1,46,48,24,1,7,0,NA,0,22,mostly dead,vacant,crem,2390.097511,15607.4323,6
54.3,2009,722,3,54,0,2009,13,9,5,0,0,NA,NA,0,2010,0,1,41,23,10,,5,0,NA,NA,NA,NA,vacant,liom,166.76621,2922.270216,3
