YEAR,site,t0,t1,repro,survival
9-Aug,7,1.165412703,1.14608053,0.194170182,1
8-Jul,8,1.165595916,1.19124884,0.194200707,1
7-Jun,2,1.166419073,1.240505358,0.194337854,1
8-Jul,7,1.166618701,1.239436804,0.194371114,1
7-Jun,5,1.169070227,1.231633181,0.194779564,1
8-Jul,6,1.172435318,1.072779614,0.195340224,1
8-Jul,7,1.172459103,1.240808753,0.195344187,1
8-Jul,5,1.174712698,1.256478078,0.19571966,1
9-Aug,8,1.1752335,1.495234727,0.195806431,1
9-Aug,2,1.175345961,1.245752126,0.195825169,1
5-Apr,3,1.178807355,1.278817139,0.196401874,1
7-Jun,6,1.180501816,1.237447395,0.196684189,1
8-Jul,4,1.183438683,NA,0,0
8-Jul,2,1.18523007,1.317743216,0.197471967,1
5-Apr,2,1.188110161,1.071999876,0.19795182,1
7-Jun,1,1.189523514,0.993822389,0.1981873,1
9-Aug,8,1.19124884,1.418772402,0.198474758,1
9-Aug,2,1.193436362,1.234384539,0.198839222,1
7-Jun,7,1.1960692,1.448677437,0.199277881,1
9-Aug,6,1.196887949,1.104338371,0.199414294,1
8-Jul,2,1.197943741,1.275878932,0.1995902,1
6-May,1,1.198146694,1.270435641,0.199624014,1
6-May,7,1.199205597,1.428777065,0.199800438,1
6-May,3,1.203178076,1.268023972,0.200462296,1
8-Jul,6,1.203864684,1.196887949,0.200576692,1
8-Jul,4,1.206499165,1.12851941,0.201015625,1
7-Jun,3,1.209757308,NA,0,0
8-Jul,6,1.211697265,1.076528474,0.201881683,1
7-Jun,6,1.21249901,1.430035944,0.202015263,1
5-Apr,4,1.214759332,2.030477655,0.202391856,1
6-May,3,1.215164944,1.464743106,0.202459436,1
9-Aug,1,1.215532655,1.505767305,0.2025207,1
5-Apr,2,1.218682203,1.484245208,0.203045449,1
5-Apr,3,1.220191881,1.50449574,0.203296977,1
7-Jun,5,1.222247842,1.255261338,0.203639522,1
7-Jun,3,1.223424697,1.36246711,0.203835599,1
5-Apr,3,1.223821857,1.399471713,0.20390177,1
8-Jul,1,1.225970863,1.376265323,0.204259817,1
7-Jun,7,1.226103782,1.256009702,0.204281963,1
6-May,7,1.226484577,1.409434167,0.204345407,1
8-Jul,5,1.231633181,NA,0,0
9-Aug,8,1.23608867,1.724908378,0.205945552,1
8-Jul,6,1.237447395,1.293879294,0.20617193,1
9-Aug,7,1.239436804,1.567034357,0.206503386,1
8-Jul,2,1.240505358,0.806167546,0.206681419,1
8-Jul,4,1.240531163,1.61533821,0.206685718,1
9-Aug,7,1.240808753,1.324430658,0.206731968,1
9-Aug,3,1.248937032,1.09351001,0.208086226,1
7-Jun,4,1.251259427,1.236368645,0.208473161,1
5-Apr,3,1.252207431,1.541273824,0.208631109,1
6-May,8,1.252415386,1.424599518,0.208665757,1
6-May,7,1.25352484,1.130421062,0.208850603,1
6-May,2,1.254764405,1.166419073,0.209057128,1
8-Jul,5,1.254912667,1.466688369,0.20908183,1
8-Jul,5,1.255261338,1.328283822,0.209139922,1
8-Jul,7,1.256009702,1.523916449,0.209264608,1
9-Aug,5,1.256478078,1.388013636,0.209342644,1
6-May,4,1.257008427,1.484539054,0.209431006,1
9-Aug,4,1.258297527,1.390138746,0.209645784,1
7-Jun,7,1.260523304,1.559685408,0.210016622,1
6-May,3,1.262476439,0.8839787,0.210342035,1
5-Apr,2,1.263749497,1.310081206,0.21055414,1
7-Jun,3,1.268023972,1.450806997,0.211266313,1
7-Jun,1,1.270435641,1.458938491,0.211668123,1
5-Apr,2,1.273856512,1.476733822,0.212238077,1
5-Apr,4,1.275801586,1.303757343,0.212562147,1
9-Aug,2,1.275878932,1.386355948,0.212575033,1
6-May,4,1.27614576,1.287076047,0.21261949,1
6-May,3,1.276250523,1.335791857,0.212636944,1
7-Jun,3,1.277110821,1.369003825,0.212780279,1
6-May,3,1.278817139,1.223424697,0.21306457,1
6-May,7,1.279720482,1.447045557,0.213215077,1
6-May,4,1.285525779,1.341080767,0.214182301,1
5-Apr,2,1.286558009,1.409260864,0.214354282,1
7-Jun,4,1.287076047,1.40370534,0.214440592,1
5-Apr,1,1.287989488,1.455950362,0.214592781,1
5-Apr,2,1.288370004,1.076863404,0.214656179,1
9-Aug,3,1.290352812,0.995827368,0.214986536,1
6-May,5,1.292135112,1.299133137,0.215283486,1
7-Jun,7,1.292529877,1.353539295,0.215349258,1
7-Jun,6,1.293597243,1.456418099,0.215527093,1
9-Aug,6,1.293879294,1.402122141,0.215574086,1
9-Aug,8,1.295605301,1.861097181,0.215861657,1
7-Jun,5,1.297298184,1.254912667,0.216143709,1
7-Jun,5,1.299133137,1.377565076,0.216449432,1
6-May,4,1.303757343,1.68871974,0.217219874,1
9-Aug,7,1.305024512,1.46627356,0.217430998,1
8-Jul,6,1.308053763,1.505229388,0.217935703,1
7-Jun,2,1.309256213,0.189924441,0.218136044,1
5-Apr,1,1.314063389,1.731872472,0.218936971,1
9-Aug,6,1.314471073,1.351906745,0.219004896,1
7-Jun,2,1.314630871,1.14688048,0.21903152,1
7-Jun,7,1.315013779,1.369954283,0.219095316,1
8-Jul,2,1.315290464,NA,0,0
9-Aug,2,1.317743216,1.412999798,0.21955007,1
9-Aug,6,1.326448902,1.235549257,0.22100053,1
5-Apr,2,1.327860895,1.266090237,0.221235783,1
9-Aug,5,1.328283822,0.973934641,0.221306247,1
6-May,6,1.331699902,1.180501816,0.221875402,1
7-Jun,3,1.335791857,1.729869802,0.222557166,1
6-May,6,1.339183266,1.459068957,0.22312221,1
6-May,2,1.340169907,1.055275758,0.223286595,1
6-May,7,1.340983729,1.315013779,0.223422187,1
7-Jun,4,1.341080767,1.50166269,0.223438354,1
9-Aug,8,1.342248849,1.487389161,0.223632969,1
9-Aug,3,1.342288948,1.447033386,0.22363965,1
9-Aug,6,1.343907391,NA,0,0
7-Jun,4,1.351099693,1.666103389,0.225107614,1
9-Aug,7,1.353281844,1.468982663,0.225471184,1
8-Jul,2,1.353305,1.592608096,0.225475042,1
8-Jul,7,1.353539295,1.450786699,0.225514078,1
6-May,2,1.354820251,1.389671581,0.225727499,1
6-May,8,1.357208713,1.401318715,0.226125442,1
8-Jul,3,1.36246711,1.438429434,0.227001547,1
6-May,1,1.367961882,1.457473972,0.227917035,1
7-Jun,8,1.368318201,1.747340627,0.227976401,1
8-Jul,3,1.369003825,1.09546855,0.228090634,1
8-Jul,7,1.369954283,NA,0,0
6-May,3,1.372894201,1.652391675,0.228738812,1
6-May,8,1.374768034,1.426956722,0.229051012,1
6-May,7,1.37521143,1.752780009,0.229124887,1
9-Aug,1,1.376265323,1.640360436,0.229300477,1
8-Jul,5,1.377565076,1.72138056,0.229517029,1
6-May,1,1.379528007,1.073940772,0.229844074,1
8-Jul,6,1.381369192,1.326448902,0.230150836,1
8-Jul,7,1.382352109,1.305024512,0.2303146,1
7-Jun,2,1.385539237,NA,0,0
9-Aug,8,1.386677301,1.592008759,0.231035223,1
7-Jun,2,1.389671581,1.353305,0.231534102,1
6-May,7,1.391761878,1.590921944,0.231882368,1
6-May,5,1.394465828,1.619813959,0.232332875,1
6-May,3,1.399471713,1.912589991,0.233166909,1
7-Jun,8,1.401318715,1.573753682,0.233474639,1
7-Jun,6,1.402920655,1.813536388,0.233741539,1
8-Jul,4,1.40370534,1.633925807,0.233872276,1
6-May,6,1.404966307,1.511666039,0.234082366,1
7-Jun,7,1.409434167,1.694190937,0.23482676,1
7-Jun,8,1.410599662,1.664004755,0.235020943,1
9-Aug,2,1.415505054,1.483933418,0.235838234,1
8-Jul,8,1.416093195,1.458619916,0.235936225,1
8-Jul,1,1.417865509,1.480159054,0.236231511,1
6-May,3,1.418411304,1.277110821,0.236322446,1
6-May,1,1.418514467,1.189523514,0.236339634,1
5-Apr,3,1.419447346,1.531241301,0.236495062,1
6-May,7,1.421219339,1.606365846,0.236790295,1
7-Jun,8,1.424599518,1.738207053,0.237353469,1
8-Jul,1,1.425901739,1.127274171,0.237570433,1
8-Jul,1,1.42602821,1.694563416,0.237591504,1
7-Jun,8,1.426956722,1.416093195,0.237746204,1
7-Jun,7,1.428777065,1.771883542,0.238049493,1
8-Jul,6,1.430035944,1.547198295,0.238259235,1
8-Jul,2,1.434730837,1.415505054,0.239041455,1
8-Jul,1,1.435181179,1.495467451,0.239116486,1
5-Apr,1,1.435469793,1.4736254,0.239164572,1
9-Aug,3,1.438429434,1.373094743,0.23965768,1
6-May,1,1.440217142,1.579383077,0.239955531,1
5-Apr,1,1.441050291,1.379528007,0.240094343,1
7-Jun,8,1.446623029,1.58583639,0.241022821,1
7-Jun,7,1.447045557,1.774671454,0.241093218,1
6-May,5,1.447362271,1.297298184,0.241145986,1
8-Jul,7,1.448677437,1.353281844,0.241365107,1
7-Jun,3,1.449073555,NA,0,0
9-Aug,7,1.450786699,0.56325535,0.241716532,1
8-Jul,3,1.450806997,1.342288948,0.241719914,1
6-May,5,1.452614908,1.622564174,0.242021131,1
6-May,1,1.455950362,1.822211356,0.242576854,1
8-Jul,6,1.456418099,1.596900082,0.242654784,1
8-Jul,7,1.456762399,1.63473081,0.242712148,1
7-Jun,1,1.457473972,1.526571723,0.242830703,1
9-Aug,8,1.458619916,1.392771033,0.24302163,1
8-Jul,1,1.458938491,1.724674223,0.243074708,1
7-Jun,6,1.459068957,1.506819735,0.243096445,1
5-Apr,1,1.464566865,1.367961882,0.244012455,1
7-Jun,3,1.464743106,1.886121433,0.244041819,1
9-Aug,6,1.465185513,NA,0,0
7-Jun,1,1.465395609,1.435181179,0.244150532,1
9-Aug,5,1.466688369,1.166486386,0.24436592,1
8-Jul,4,1.467875739,1.608395207,0.244563749,1
6-May,1,1.469391731,1.608795143,0.244816329,1
5-Apr,1,1.472948808,1.699809646,0.245408976,1
6-May,1,1.4736254,1.465395609,0.245521703,1
8-Jul,6,1.476692984,1.465185513,0.246032796,1
5-Apr,3,1.477148812,1.421954968,0.246108741,1
9-Aug,3,1.478229546,1.347933792,0.246288803,1
5-Apr,1,1.47920792,1.469391731,0.246451811,1
9-Aug,1,1.480159054,1.379308962,0.24661028,1
7-Jun,4,1.484539054,1.467875739,0.247340035,1
6-May,6,1.49502519,1.65285689,0.249087137,1
9-Aug,1,1.495467451,1.480731553,0.249160822,1
6-May,8,1.50018224,1.884712362,0.249946356,1
