szs0,szs1,bulbs0
7.256445411,5.131081757,0
7.256445411,5.131081757,0
7.256445411,5.131081757,0
7.256445411,5.131081757,0
7.83785685,5.131081757,0
7.83785685,5.131081757,0
8.112952607,5.131081757,0
8.112952607,5.131081757,0
8.379021423,5.131081757,0
8.379021423,5.131081757,0
8.379021423,5.131081757,0
8.379021423,5.131081757,0
8.379021423,5.131081757,0
8.887294301,5.131081757,0
9.368030743,5.131081757,0
10.26216351,5.131081757,0
10.26216351,5.131081757,0
13.89503508,5.131081757,0
14.20732206,5.131081757,0
14.51289082,5.131081757,0
14.51289082,5.131081757,0
3.628222705,5.542201729,0
4.189510711,5.542201729,0
4.189510711,5.542201729,0
4.684015371,5.542201729,0
4.684015371,5.542201729,0
4.684015371,5.542201729,0
4.684015371,5.542201729,0
5.131081757,5.542201729,0
5.131081757,5.542201729,0
5.131081757,5.542201729,0
5.542201729,5.542201729,0
5.542201729,5.542201729,0
5.542201729,5.542201729,0
5.542201729,5.542201729,0
5.542201729,5.542201729,0
5.924862868,5.542201729,0
5.924862868,5.542201729,0
5.924862868,5.542201729,0
5.924862868,5.542201729,0
5.924862868,5.542201729,0
5.924862868,5.542201729,0
5.924862868,5.542201729,0
5.924862868,5.542201729,0
6.284266067,5.542201729,0
6.284266067,5.542201729,0
6.284266067,5.542201729,0
6.284266067,5.542201729,0
6.624198065,5.542201729,0
6.624198065,5.542201729,0
6.624198065,5.542201729,0
6.947517542,5.542201729,0
7.256445411,5.542201729,0
7.83785685,5.542201729,0
7.83785685,5.542201729,0
7.83785685,5.542201729,0
7.83785685,5.542201729,0
8.112952607,5.542201729,0
8.112952607,5.542201729,0
8.379021423,5.542201729,0
8.379021423,5.542201729,0
8.379021423,5.542201729,0
9.368030743,5.542201729,0
9.368030743,5.542201729,0
9.825273533,5.542201729,0
10.26216351,5.542201729,0
10.47377678,5.542201729,0
11.84972574,5.542201729,0
12.56853213,5.542201729,0
13.081743,5.542201729,0
15.10549569,5.542201729,0
2.962431434,5.924862868,0
2.962431434,5.924862868,0
2.962431434,5.924862868,0
2.962431434,5.924862868,0
2.962431434,5.924862868,0
3.628222705,5.924862868,0
3.628222705,5.924862868,0
3.628222705,5.924862868,0
3.628222705,5.924862868,0
3.628222705,5.924862868,0
3.628222705,5.924862868,0
3.628222705,5.924862868,0
3.628222705,5.924862868,0
3.628222705,5.924862868,0
3.628222705,5.924862868,0
4.189510711,5.924862868,0
4.189510711,5.924862868,0
4.189510711,5.924862868,0
4.189510711,5.924862868,0
4.189510711,5.924862868,0
4.189510711,5.924862868,0
4.189510711,5.924862868,0
4.189510711,5.924862868,0
4.189510711,5.924862868,0
4.189510711,5.924862868,0
4.189510711,5.924862868,0
4.189510711,5.924862868,0
4.189510711,5.924862868,0
4.684015371,5.924862868,0
4.684015371,5.924862868,0
4.684015371,5.924862868,0
4.684015371,5.924862868,0
4.684015371,5.924862868,0
5.131081757,5.924862868,0
5.131081757,5.924862868,0
5.131081757,5.924862868,0
5.131081757,5.924862868,0
5.131081757,5.924862868,0
5.131081757,5.924862868,0
5.131081757,5.924862868,0
5.131081757,5.924862868,0
5.131081757,5.924862868,0
5.131081757,5.924862868,0
5.131081757,5.924862868,0
5.131081757,5.924862868,0
5.131081757,5.924862868,0
5.131081757,5.924862868,0
5.131081757,5.924862868,0
5.131081757,5.924862868,0
5.131081757,5.924862868,0
5.131081757,5.924862868,0
5.542201729,5.924862868,0
5.542201729,5.924862868,0
5.542201729,5.924862868,0
5.542201729,5.924862868,0
5.542201729,5.924862868,0
5.542201729,5.924862868,0
5.924862868,5.924862868,0
5.924862868,5.924862868,0
5.924862868,5.924862868,0
5.924862868,5.924862868,0
5.924862868,5.924862868,0
5.924862868,5.924862868,0
5.924862868,5.924862868,0
5.924862868,5.924862868,0
5.924862868,5.924862868,0
5.924862868,5.924862868,0
5.924862868,5.924862868,0
5.924862868,5.924862868,0
5.924862868,5.924862868,0
5.924862868,5.924862868,0
5.924862868,5.924862868,0
5.924862868,5.924862868,0
6.284266067,5.924862868,0
6.284266067,5.924862868,0
6.284266067,5.924862868,0
6.284266067,5.924862868,0
6.624198065,5.924862868,0
6.624198065,5.924862868,0
6.624198065,5.924862868,0
6.624198065,5.924862868,0
6.624198065,5.924862868,0
6.624198065,5.924862868,0
6.624198065,5.924862868,0
6.947517542,5.924862868,0
7.256445411,5.924862868,0
7.256445411,5.924862868,0
7.256445411,5.924862868,0
7.256445411,5.924862868,0
7.256445411,5.924862868,0
7.256445411,5.924862868,0
7.256445411,5.924862868,0
7.256445411,5.924862868,0
7.256445411,5.924862868,0
7.256445411,5.924862868,0
7.83785685,5.924862868,0
7.83785685,5.924862868,0
7.83785685,5.924862868,0
7.83785685,5.924862868,0
7.83785685,5.924862868,0
7.83785685,5.924862868,0
7.83785685,5.924862868,0
7.83785685,5.924862868,0
7.83785685,5.924862868,0
7.83785685,5.924862868,0
8.112952607,5.924862868,0
8.379021423,5.924862868,0
8.379021423,5.924862868,0
9.368030743,5.924862868,0
9.59937498,5.924862868,0
10.26216351,5.924862868,0
10.68119843,5.924862868,0
11.08440346,5.924862868,0
11.84972574,5.924862868,0
12.56853213,5.924862868,0
13.081743,5.924862868,0
13.89503508,5.924862868,0
16.22590521,5.924862868,0
18.14111353,5.924862868,0
18.14111353,5.924862868,0
3.628222705,6.284266067,0
3.628222705,6.284266067,0
3.628222705,6.284266067,0
4.189510711,6.284266067,0
4.189510711,6.284266067,0
4.684015371,6.284266067,0
5.131081757,6.284266067,0
5.131081757,6.284266067,0
5.131081757,6.284266067,0
5.131081757,6.284266067,0
5.131081757,6.284266067,0
5.542201729,6.284266067,0
5.924862868,6.284266067,0
6.284266067,6.284266067,0
6.624198065,6.284266067,0
6.624198065,6.284266067,0
6.947517542,6.284266067,0
6.947517542,6.284266067,0
7.256445411,6.284266067,0
7.256445411,6.284266067,0
7.256445411,6.284266067,0
7.256445411,6.284266067,0
7.256445411,6.284266067,0
7.83785685,6.284266067,0
7.83785685,6.284266067,0
7.83785685,6.284266067,0
9.368030743,6.284266067,0
9.368030743,6.284266067,0
9.368030743,6.284266067,0
12.56853213,6.284266067,0
13.24839613,6.284266067,0
13.89503508,6.284266067,0
14.05204611,6.284266067,0
16.22590521,6.284266067,0
16.62660519,6.284266067,0
19.87259419,6.284266067,0
2.962431434,6.624198065,0
3.628222705,6.624198065,0
3.628222705,6.624198065,0
3.628222705,6.624198065,0
4.189510711,6.624198065,0
4.189510711,6.624198065,0
4.189510711,6.624198065,0
4.189510711,6.624198065,0
4.189510711,6.624198065,0
4.189510711,6.624198065,0
4.189510711,6.624198065,0
4.189510711,6.624198065,0
4.684015371,6.624198065,0
4.684015371,6.624198065,0
4.684015371,6.624198065,0
4.684015371,6.624198065,0
4.684015371,6.624198065,0
4.684015371,6.624198065,0
5.131081757,6.624198065,0
5.131081757,6.624198065,0
5.131081757,6.624198065,0
5.131081757,6.624198065,0
5.924862868,6.624198065,0
5.924862868,6.624198065,0
5.924862868,6.624198065,0
5.924862868,6.624198065,0
5.924862868,6.624198065,0
5.924862868,6.624198065,0
5.924862868,6.624198065,0
5.924862868,6.624198065,0
5.924862868,6.624198065,0
5.924862868,6.624198065,0
5.924862868,6.624198065,0
5.924862868,6.624198065,0
5.924862868,6.624198065,0
5.924862868,6.624198065,0
5.924862868,6.624198065,0
6.284266067,6.624198065,0
6.624198065,6.624198065,0
6.624198065,6.624198065,0
6.624198065,6.624198065,0
6.624198065,6.624198065,0
6.624198065,6.624198065,0
6.624198065,6.624198065,0
6.624198065,6.624198065,0
6.624198065,6.624198065,0
7.256445411,6.624198065,0
7.256445411,6.624198065,0
7.256445411,6.624198065,0
7.256445411,6.624198065,0
7.256445411,6.624198065,0
7.256445411,6.624198065,0
7.256445411,6.624198065,0
7.256445411,6.624198065,0
7.256445411,6.624198065,0
7.256445411,6.624198065,0
7.256445411,6.624198065,0
7.256445411,6.624198065,0
7.256445411,6.624198065,0
7.256445411,6.624198065,0
7.256445411,6.624198065,0
7.256445411,6.624198065,0
