"","area.t0","area.t1","logarea.t0","logarea.t1","year","Group","age","W.ARTR","W.HECO","W.POSE","W.PSSP","W.allcov","W.allpts","Treatment"
"1569",44.1198049318626,41.9439162965905,3.78690877306688,3.73633339966912,"1931","P7E1",9,0,0,0,0.0702591468645573,0.00342386116750366,0,"Control"
"3980",44.1408053568809,31.9691732813713,3.78738464617372,3.46477210353725,"1941","E1",10,34.6380817159227,0,0.0332543713366517,0.00551074924101009,0.0223801948330588,0.02543,"Control"
"2099",44.3220974923833,33.2173860181446,3.79148336741087,3.50307341409773,"1954","P7E1",32,0,1.1402741556896,0,0.209664896876974,0.0115841200360048,0.05823,"Control"
"3277",44.3595556455824,70.3610399139938,3.79232814542529,4.2536396996634,"1935","P10E1",4,0,0,0,0.0038668124298905,0.0752694178777479,0.07395,"Control"
"14801",44.3607015162275,60.874008984617,3.79235397651915,4.10880630175676,"2013","E1",3,0,0,0.171683494054146,0.380540602103724,0.00709173919673129,0.0019,"No_shrub"
"3317",44.4027086767854,48.8834648623275,3.79330047381128,3.88943919742328,"1938","P10E1",7,0.281915035487585,0,0.000124632181192328,0.104056764518399,0.00315919915057334,0.26533,"Control"
"37110",44.476732124337,5.46219357682499,3.79496617881571,1.69785046307254,"2014","P7E1",8,0,1.21885718662269,0.133886735792615,0.00943899086444834,0.00156818885132577,0.05289,"ControlModern"
"2447",44.4801034197064,45.9392548433286,3.79504197502295,3.82731997691453,"1932","P7E1",3,1.20595264349695,0.00821752150072149,0.0159560918716822,0.156074481793843,1.27617578979932,0,"Control"
"1228",44.4840643605748,18.0006325165637,3.79513102078081,2.89040689708787,"1936","P1",7,0,0,0,0.563473946873928,0.0494983277431329,0.37786,"Control"
"3821",44.5004985195635,56.7980021830211,3.79550039179627,4.03950115227439,"1938","E1",7,0.001475,0,0.00729498311828202,0.0108689139126361,0.260144485118047,1.04938,"Control"
"1650",44.5056574891596,46.6888731763543,3.79561631567913,3.84350587453771,"1938","P7E1",16,0.0089175,0,6.06083785859463e-05,0.00485973171719436,0.0101132590914922,0.25232,"Control"
"4017",44.5823683289502,34.0867257520017,3.79733845191562,3.52890803436778,"1954","E1",23,42.1174312213569,0,0,0.0924689462350894,0.297894436581312,0.03195,"Control"
"2372",44.6135806598894,70.5460627508492,3.79803831177624,4.25626586881591,"1954","P7E1",25,0.685986950577269,5.03620335651323,0.00057097509571167,0.175128416442573,0.37476586554992,0.04692,"Control"
"1701",44.6200511232802,40.4947162581661,3.79818333475183,3.70117150284016,"1946","P7E1",24,0.0144397152988332,0.04348327495889,0.0211026862549811,0.00110335949021396,0.000378205750253678,0.02124,"Control"
"1176",44.6652008750571,54.6547239267875,3.79919469451427,4.0010356505353,"1932","P1",3,1.67755012764912,0,0.171802216523912,0.536489610888597,0.013712937425258,0.04708,"Control"
